index,year,nodes,edges
0,1938,16,8
1,1981,-44,-14
2,1985,40,6
3,1989,-12,0
4,1990,-2,-1
5,1992,10,4
6,1993,-20,-6
7,1994,64,26
8,1995,-134,-41
9,1996,178,48
10,1997,-212,-58
11,1998,314,99
12,1999,-478,-140
13,2000,560,140
14,2001,-430,-75
15,2002,142,-4
16,2003,130,61
17,2004,86,104
18,2005,-668,-230
19,2006,916,228
20,2007,-326,65
21,2008,1450,790
22,2009,-1440,70
23,2010,3704,1922
24,2011,-7766,-1961
25,2012,1364,-1279
26,2013,4492,967
27,2014,92,1013
28,2015,-4414,-1194
29,2016,118,-1135
30,2017,-6762,-4516
31,2018,11806,1387
32,2019,4482,3628
